Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110AES 510000,專題演講,Colloquium 	,"吳劍侯 WU, CHIEN-HOU",36,3.86,0.35
11110AES 510100,碩士班專題研究,MS Graduate Research 	,"指導教授 ",13,3.96,0.31
11110AES 511100,書報討論,Seminar 	,"吳劍侯 WU, CHIEN-HOU",15,3.65,0.43
11110AES 520100,環境分析化學,Environmental Analytical Chemistry 	,"黃郁棻 HUANG, YU-FEN",26,3.61,0.66
11110AES 520300,環境化學,Environment Chemistry 	,"董瑞安 DOONG, RUEY-AN",13,82.85,7.39
11110AES 520400,生態與健康,Ecohealth 	,"楊樹森 YANG, SHU-SEN, 周秀專 CHOU, HSIU-CHUAN",12,3.70,0.29
11110AES 530200,表面分析技術,Surface Analysis Techniques 	,"周子勤 CHOU, TSU-CHIN",5,83.80,4.71
11110AES 540400,分子光譜學,Molecular Spectroscopy 	,"周子勤 CHOU, TSU-CHIN",8,79.25,9.35
11110AES 550200,當代環境醫學特論一,Specific Topic for Contemporary Environmental Medicine (I) 	,"周秀專 CHOU, HSIU-CHUAN",5,87.20,1.60
11110AES 570100,廢棄物與處理,Waste Management and Treatment 	,"王竹方 WANG, CHU-FANG",54,3.96,0.26
11110AES 611100,專題書報討論,Seminar 	,"楊樹森 YANG, SHU-SEN",21,3.70,0.35
11110AIIM500100 產學實務專題一,Special,Topics on Industrial Practice I 	,"指導教授 ",5,4.24,0.12
11110AMEV500100 產學實務專題一,Special,Topics on Industrial Practice I 	,"指導教授 ",3,4.10,0.28
11110ANTH651000 文化人類學專題,Special,Topics in Cultural Anthropology 	,"許瀞文 CHING-WEN HSU",10,84.70,3.77
11110ANTH672400 人類學的社群研究,Anthropology,of Community Studies 	,"呂玫鍰 LU, MEI-HUAN",11,85.64,3.14
11110ANTH674200 台灣史前文化,Prehistoric,culture of Taiwan 	,"邱鴻霖 CHIU, HUNG-LIN",6,89.33,2.21
11110ANTH674300 當代人類處境專題,Contemporary,Human Conditions: Anthropological Perspectives 	,"林浩立 LIN, HAO-LI",14,87.50,5.50
11110ANTH675700 中國考古學,Chinese,Archaeology 	,"臧振華 TSANG, CHENG-HWA",10,85.20,5.19
11110ANTH676800 殖民考古學,The,Archaeology of Colonialism 	,"謝艾倫 ELLEN HSIEH",3,4.10,0.14
