Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11120AES 370100,環境科學與工程,Environmental Science and Engineering 	,"吳劍侯 WU, CHIEN-HOU",5,87.00,5.90
11120AES 510000,專題演講,Colloquium 	,"楊樹森 YANG, SHU-SEN, 周秀專 CHOU, HSIU-CHUAN",33,85.30,4.47
11120AES 510100,碩士班專題研究,MS Graduate Research 	,"指導教授 ",13,4.02,0.18
11120AES 511100,書報討論,Seminar 	,"楊樹森 YANG, SHU-SEN, 周秀專 CHOU, HSIU-CHUAN",16,87.69,5.36
11120AES 520200,綠色科技,Green technology 	,"周子勤 CHOU, TSU-CHIN",4,86.00,3.08
11120AES 520500,環境生物技術,Environmental Biotechnology 	,"周秀專 CHOU, HSIU-CHUAN",11,87.73,5.17
11120AES 530100,空氣品質量測,Air quality characterization 	,"林采吟 LIN, TSAI-YIN",12,4.00,0.21
11120AES 540300,生物分析技術,Bioanalytical Chemistry 	,"黃郁棻 HUANG, YU-FEN",8,4.04,0.23
11120AES 560300,當代環境醫學特論二,Specific Topic for Contemporary Environmental Medicine (II) 	,"周秀專 CHOU, HSIU-CHUAN",5,89.40,3.07
11120AES 570300,汙染生態學,Pollution Ecology 	,"楊樹森 YANG, SHU-SEN, 李清福 LEE, CHING-FU",10,82.00,17.48
11120AES 570400,環境奈米與水處理,Environmental Nanotechnology for Water Treatment 	,"董瑞安 DOONG, RUEY-AN",4,92.75,1.79
11120AES 580400,觸媒技術,Technology of Catalysis 	,"周子勤 CHOU, TSU-CHIN",3,87.00,2.45
11120AES 611100,專題書報討論,Seminar 	,"董瑞安 DOONG, RUEY-AN",17,86.35,3.85
11120AIIM500100 產學實務專題二,Special,Topics on Industrial Practice II 	,"指導教授 ",5,91.00,2.00
11120AMEV500100 產學實務專題二,Special,Topics on Industrial Practice II 	,"指導教授 ",3,91.67,2.87
11120ANTH652300 經濟人類學,Anthropology,of Economics 	,"方怡潔 FANG, I-CHIEH",4,82.00,5.52
11120ANTH653500 中國少數民族,Ethnic,Minorities in China 	,"黃樹民 HUANG, SHU-MIN, 劉紹華 LIU, SHAO-HUA",7,3.37,0.42
11120ANTH654200 人類學方法論,Anthropological,Methodology 	,"林浩立 LIN, HAO-LI",14,81.93,6.62
11120ANTH670700 都市人類學,Urban,Anthropology 	,"許瀞文 CHING-WEN HSU",4,81.50,2.06
11120ANTH673900 儀式與展演,Ritual,and Performance--Anthropological Perspectives 	,"呂玫鍰 LU, MEI-HUAN",2,86.50,2.50
11120ANTH676600 想像人類學,Anthropology,of Imaginary 	,"李威宜 LEE, WEI-I",11,3.02,1.33
11120ANTH676700 考古學方法論,Archaeological,Methodology 	,"邱鴻霖 CHIU, HUNG-LIN",3,88.67,3.40
11120ANTH677500 當代人類學理論,Contemporary,Anthropological Theory 	,"高進榮 GALIPEAU, BRENDAN ARTHUR",4,4.23,0.13
11120ANTH678000 公眾考古學,Public,Archaeology 	,"謝艾倫 ELLEN HSIEH",7,4.00,0.23
11120ANTH679800 聚落及景觀考古學,Settlement,and Landscape Archaeology 	,"臧振華 TSANG, CHENG-HWA",3,3.90,0.14
11120ANTH679900 人類學與親密：情感和行為,Anthropology,and the Intimate: Studies in Emotion and Action 	,"賴婉琪 LAI, YUEN-KI",9,93.78,5.63
11120ANTH680000 書報討論：當代人類學研究理論,Seminar,：Contemporary Anthropological Research Theory 	,"指導教授 ",3,85.00,0.00
11120ASTR510000 恒星天文物理學,Stellar,Astrophysics 	,"潘國全 PAN, KUO-CHUAN",8,67.50,12.67
11120ASTR550000 恆星形成,star,formation 	,"何英宏 Daniel Harsono",10,89.80,5.17
11120ASTR592000 專題演講二,Colloquium,(II) 	,"何英宏 Daniel Harsono",8,89.50,6.98
11120ASTR600800 天文物理的前沿二,Frontier,of Astrophysics Seminars II 	,"後藤友嗣 GOTO, TOMOTSUGU",4,4.30,0.00
11120ASTR620000 天文輻射物理,Astrophysical,Radiative Processes 	,"張祥光 CHANG, HSIANG-KUANG",10,3.46,0.74
11120ASTR630000 電波天文學,Radio,Astronomy 	,"陳惠茹 CHEN, HUEI-RU",5,86.20,5.00
11120ASTR640000 宇宙論,Cosmology,	,"後藤友嗣 GOTO, TOMOTSUGU",13,4.30,0.00
11120BAI 700400,科學,Science 	,"楊立威 YANG, LEE-WEI",4,85.75,2.49
11120BAI 700500,統計與機器學習概論二,Introduction of Statistics and Machine Learning (II) 	,"楊立威 YANG, LEE-WEI, 羅中泉 LO, CHUNG-CHUAN, 楊自雄 YANG, TZUHSIUNG, 劉奕汶 LIU, YI-WEN, 李政霖 LI, JENG-LIN",16,79.19,21.48
11120BAI 700700,實驗輪轉二,Lab Rotation (II) 	,"吳尚鴻 WU, SHAN-HUNG, 鄭桂忠 TANG KEA TIONG",2,94.00,1.00
11120BME 400100,專題研究,Undergraduate Research 	,"指導教授 ",8,4.23,0.13
11120BME 500400,書報討論,Seminar 	,"林幸瑩 LIN, HSING-YING",31,90.00,6.71
11120BME 500500,奈米材料化學,Nanomaterials Chemistry 	,"萬德輝 WAN, DE-HUI",4,85.75,7.95
11120BME 501400,癌症奈米科技,Cancer Nanotechnology 	,"陳韻晶 CHEN, YUN-CHING",8,4.11,0.15
11120BME 501500,生物醫學技術,Techniques in Biology and Medicine 	,"陳韻晶 CHEN, YUN-CHING",19,89.84,6.39
11120BME 502000,無機材料與工程,Inorganic Materials and Engineering 	,"萬德輝 WAN, DE-HUI",6,4.05,0.21
11120BME 503100,重點照護檢驗,Point-of-Care Diagnostics 	,"鄭兆珉 CHENG, CHAO-MIN",3,93.00,0.00
11120BME 503200,再生醫學與組織工程,Regenerative medicine and tissue engineering 	,"黃玠誠 HUANG, CHIEH-CHENG",25,4.12,0.84
11120BME 503400,分子生醫影像導論,Introduction to Molecular Imaging 	,"魯才德 LU, TSAI-TE",5,88.80,3.43
11120BME 504300,磁性生醫材料,Magnetic Biomaterial 	,"魯才德 LU, TSAI-TE",5,86.60,2.06
11120BME 504700,生醫感測數值統計分析,Biomedical sensing technology and statistical analysis 	,"林幸瑩 LIN, HSING-YING",6,92.83,2.19
11120BME 505000,細胞治療特論,Special topics in cell therapy 	,"黃玠誠 HUANG, CHIEH-CHENG",3,4.30,0.00
11120BMES112200 生命科學導論,Introduction,to Life Science 	,"莊淳宇 CHUANG, CHUN-YU",23,78.91,9.69
11120BMES211200 工程數學二,Engineering,Mathematics II 	,"劉耕谷 LIU, KENG-KU",41,72.61,16.44
11120BMES224200 電磁學,Electromagnetism,	,"林曉均 Lin, Hsiao Chun",27,81.93,8.25
11120BMES225200 有機化學二,Organic,Chemistry (II) 	,"俞鐘山 YU, CHUNG-SHAN",18,72.89,10.19
11120BMES232200 分析化學一,Analytical,Chemistry (I) 	,"李亦淇 LEE, I-CHI",4,82.50,6.58
11120BMES240200 計算機概論與程式語言,Introduction,to Computer Science and Programming Language 	,"彭旭霞 PENG, HSU-HSIA",17,85.65,5.51
11120BMES318200 專題研究二,Research,on special topics(Ⅱ) 	,"指導教授 ",22,4.16,0.35
11120BMES323401 生物與材料實驗,Biology,and Biomedical Materials Laboratory 	,"莊淳宇 CHUANG, CHUN-YU",22,85.23,11.24
11120BMES323402 生物與材料實驗,Biology,and Biomedical Materials Laboratory 	,"劉耕谷 LIU, KENG-KU",16,88.25,8.00
11120BMES325100 生理解剖學,Human,Anatomy and Physiology 	,"柯美蘭 KO, MEI-LAN",49,77.24,10.76
11120BMES325300 光學,Optics,	,"陳之碩 CHEN, CHI-SHUO",14,79.43,11.12
11120BMES326200 生物化學二,Biochemistry,II 	,"江啓&# CHIANG, CHI-SHIUN",17,76.41,9.54
11120BMES411200 書報討論,Seminar,	,"朱麗安 CHU, LI-AN",14,90.00,4.23
11120BMES418200 專題研究四,Undergraduate,Research (IV) 	,"指導教授 ",5,4.18,0.15
11120BMES424200 分子遺傳學,Molecular,Genetics 	,"張建文 CHANG, CHIEN-WEN",18,76.00,15.34
11120BMES424400 生醫高分子導論,Introduction,of Biomedical Polymer 	,"胡尚秀 HU, SHANG-HSIU",29,86.90,6.44
11120BMES432200 全球暖化與環境衝擊,Global,Warming and Environmental Impact 	,"鍾堅 CHUNG, CHIEN",105,77.25,15.05
11120BMES500000 專題演講,Colloquium,	,"張建文 CHANG, CHIEN-WEN, 王廷瑋 WANG, TING-WEI",92,82.58,2.95
11120BMES511201 書報討論(一)-分子生醫工程與材料,Seminar(I)：Molecular,Biomedical Engineering and Materials 	,"張建文 CHANG, CHIEN-WEN",22,87.32,2.70
11120BMES511203 書報討論(一)-生醫影像工程,Seminar(I)：Biomedical,Imaging Engineering 	,"王廷瑋 WANG, TING-WEI",10,90.70,1.00
11120BMES512200 碩士班專題研究二,MS,Graduate Research (II) 	,"指導教授 ",34,4.17,0.27
11120BMES522100 生醫光電基礎,Fundamentals,of Biophotonics 	,"陳之碩 CHEN, CHI-SHUO",3,4.00,0.00
11120BMES525100 藥物控制釋放,Drug,Controlled Release 	,"邱信程 CHIU, HSIN-CHENG",24,86.08,9.21
11120BMES526600 生醫高分子應用,Polymer,for Bio-Applications 	,"胡尚秀 HU, SHANG-HSIU",27,85.89,6.15
11120BMES527400 生醫流行病與環境毒理學,Biomedical,Epidemiology and Environmental Toxicology 	,"莊淳宇 CHUANG, CHUN-YU",17,89.41,7.52
