科號,中文課名,英文課名,學分,上課時間,教室,教師,人限,總人數,備註欄,此課程已列入之系所班別,遠距課,授課語言,通識對象,通識分類,code,系所全名,院全名,課程字頭,課程屬性,學年期,第一二專長對應,學分學程對應,科目名稱 Course Name,授課教師 Teacher,修課人數 Enrollment,等級制,等級制.1,百分制,百分制.1
11110AES510000,專題演講,Colloquium,0,W7W8,醫環301,吳劍侯,55,36,,分環所111M必修,,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,,,專題演講 Colloquium,"吳劍侯 WU, CHIEN-HOU",36,3.86,0.35,,
11110AES510100,碩士班專題研究,MSGraduateResearch,1,,,指導教授,,13,指導教授限分環所教師,分環所111M必修,,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,,,碩士班專題研究 MS Graduate Research,指導教授,13,3.96,0.31,,
11110AES511100,書報討論,Seminar,1,W5W6,醫環419,吳劍侯,55,15,限分環所碩一學生可選,分環所111M必修,,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,,,書報討論 Seminar,"吳劍侯 WU, CHIEN-HOU",15,3.65,0.43,,
11110AES520100,環境分析化學,EnvironmentalAnalyticalChemistry,3,R5R6R7,醫環501,黃郁棻,,26,,"分環所111M必修,原科院學士班108B選修",,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,環境科技學程(第二專長),,環境分析化學 Environmental Analytical Chemistry,"黃郁棻 HUANG, YU-FEN",26,3.61,0.66,,
11110AES520300,環境化學,EnvironmentChemistry,3,M6M7F3F4,醫環501,董瑞安,,13,本課程上150分鐘，其餘時間由教授視情形彈性運用,"分環所111M必修,原科院學士班108B必修",,英,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,環境科技學程(第二專長),,環境化學 Environment Chemistry,"董瑞安 DOONG, RUEY-AN",13,3.6,0.14,82.85,7.39
11110AES520400,生態與健康,Ecohealth,3,R2R3R4,醫環717,"楊樹森,周秀專",,12,,分環所111M必修,,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,,,生態與健康 Ecohealth,"楊樹森 YANG, SHU-SEN 周秀專 CHOU, HSIU-CHUAN",12,3.7,0.29,,
11110AES530200,表面分析技術,SurfaceAnalysisTechniques,3,W2W3W4,醫環618,周子勤,,5,,"分環所111M選修,原科院學士班108B選修",,英,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,,,表面分析技術 Surface Analysis Techniques,"周子勤 CHOU, TSU-CHIN",5,3.68,0.09,83.8,4.71
11110AES540400,分子光譜學,MolecularSpectroscopy,3,M2M3M4,醫環501,周子勤,,8,,分環所111M選修,,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,,,分子光譜學 Molecular Spectroscopy,"周子勤 CHOU, TSU-CHIN",8,3.32,0.18,79.25,9.35
11110AES550200,當代環境醫學特論一,SpecificTopicforContemporaryEnvironmentalMedicine(I),1,M2,醫環105,周秀專,0,5,需與老師討論後加簽選課,分環所111M選修,,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,,,當代環境醫學特論一 Specific Topic for Contemporary Environmental Medicine (I),"周秀專 CHOU, HSIU-CHUAN",5,3.89,0.03,87.2,1.6
11110AES570100,廢棄物與處理,WasteManagementandTreatment,3,T2T3T4,醫環301,王竹方,,54,,"分環所111M選修,原科院學士班108B選修,核工所111D選修,核工所111M選修",,中,,,AES,分析與環境科學研究所,原子科學院,5,研究所,11110,環境科技學程(第二專長),(跨領域)能源科技與永續社會學分學程/(跨領域)先進能源研究生學分學程,廢棄物與處理 Waste Management and Treatment,"王竹方 WANG, CHU-FANG",54,3.96,0.26,,
11110AES610000,論文研究,Thesis,0,,,指導教授,,20,限分環所碩二以上,分環所111M必修,,中,,,AES,分析與環境科學研究所,原子科學院,6,研究所,11110,,,,,,,,,
11110AES611100,專題書報討論,Seminar,1,W5W6,醫環501,楊樹森,55,21,需先修畢書報討論,分環所111M必修,,英,,,AES,分析與環境科學研究所,原子科學院,6,研究所,11110,,,專題書報討論 Seminar,"楊樹森 YANG, SHU-SEN",21,3.7,0.35,,
11110AIIM500100,產學實務專題一,SpecialTopicsonIndustrialPracticeI,2,,,指導教授,,5,本課程由專班主任開設、指導教授評定成績,AI智造暨聯網產碩專班111M必修,,中,,,AIIM,AI智慧製造與智慧物聯網產業碩士專班,工學院,5,研究所,11110,,,產學實務專題一 Special Topics on Industrial Practice I,指導教授,5,4.24,0.12,,
11110AMEV500100,產業實務專題(一),SpecialTopicsonIndustrialPracticeI,2,,,指導教授,,3,由專班主任開設，指導教授評分,電動載具先進製造產碩專班111M必修,,中,,,AMEV,電動載具先進智慧製造技術產業碩士專班,工學院,5,研究所,11110,,,產學實務專題一 Special Topics on Industrial Practice I,指導教授,3,4.1,0.28,,
11110ANTH500000,論文研究,Thesis,0,,,指導教授,,31,限人類所碩三以上同學，Selectableaftersuccessfullycompletingsecondyear'scoursework,人類所111M必修,,中,,,ANTH,人類學研究所,人文社會學院,5,研究所,11110,,,,,,,,,
11110ANTH651000,文化人類學專題,SpecialTopicsinCulturalAnthropology,3,R2R3R4,人社C304,許瀞文,,10,本課程為16週課程,"人類所111D選修,人類所111M必修,台研教在職學位班111P選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,,文化人類學專題 Special Topics in Cultural Anthropology,許瀞文 CHING-WEN HSU,10,3.74,0.07,84.7,3.77
11110ANTH672400,人類學的社群研究,AnthropologyofCommunityStudies,3,T6T7T8,人社C304,呂玫鍰,,11,本課程為16週課程,"人類所111D選修,人類所111M選修,台研教在職學位班111P選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,,人類學的社群研究 Anthropology of Community Studies,"呂玫鍰 LU, MEI-HUAN",11,3.79,0.06,85.64,3.14
11110ANTH674200,台灣史前文化,PrehistoriccultureofTaiwan,3,R2R3R4,人社C303,邱鴻霖,,6,,"人類所111D選修,人類所111M選修,台研教在職學位班111P選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,,台灣史前文化 Prehistoric culture of Taiwan,"邱鴻霖 CHIU, HUNG-LIN",6,4,0.04,89.33,2.21
11110ANTH674300,當代人類處境專題,ContemporaryHumanConditions:AnthropologicalPerspectives,3,F2F3F4,人社C304,林浩立,,14,,"人類所111D必修,人類所111M選修,台研教在職學位班111P選修,亞際文化碩士學程111M選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,,當代人類處境專題 Contemporary Human Conditions: Anthropological Perspectives,"林浩立 LIN, HAO-LI",14,3.91,0.11,87.5,5.5
11110ANTH675700,中國考古學,ChineseArchaeology,3,M6M7M8,人社C304,臧振華,,10,,"人類所111D選修,人類所111M選修,台研教在職學位班111P選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,(跨領域)藝術學分學程,中國考古學 Chinese Archaeology,"臧振華 TSANG, CHENG-HWA",10,3.77,0.1,85.2,5.19
11110ANTH676800,殖民考古學,TheArchaeologyofColonialism,3,T2T3T4,人社C304,謝艾倫,10,3,本課程為16週課程,"人類所111D選修,人類所111M選修,台研教在職學位班111P選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,,殖民考古學 The Archaeology of Colonialism,謝艾倫 ELLEN HSIEH,3,4.1,0.14,,
11110ANTH678400,自然文化與權力：殖民主義到21世紀資本主義,"Nature,Culture,andPowerfromColonialismto21stCenturyCapitalism",3,T2T3T4,人社C303,高進榮,10,4,本課程為16週課程,"人類所111D選修,人類所111M選修,台研教在職學位班111P選修,亞際文化碩士學程111M選修",,英,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,(跨領域)世界南島暨原住民族學分學程,"自然文化與權力：殖民主義到21世紀資本主義 Nature, Culture, and Power from Colonialism to 21st Century Capitalism","高進榮 GALIPEAU, BRENDAN ARTHUR",4,4.3,0,,
11110ANTH678800,文化人類學田野實習,FieldworkTraining,1,F5,人社C304,李威宜,,8,需修過人類學方法論,"人類所111D選修,人類所111M必修,台研教在職學位班111P選修",,中,,,ANTH,人類學研究所,人文社會學院,6,研究所,11110,,,文化人類學田野實習 Fieldwork Training,"李威宜 LEE, WEI-I",8,3.99,0.33,,
